Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
1,200.0%,4.0000,0.00,0.00,0.00
2,150.0%,2.0000,0.00,0.00,0.00
3,133.3%,1.3333,0.00,0.00,0.00
4,125.0%,1.0000,0.00,0.00,0.00
5,120.0%,0.8000,0.00,0.00,0.00
6,116.7%,0.6667,0.00,0.00,0.00
7,114.3%,0.5714,0.00,0.00,0.00
8,112.5%,0.5000,0.00,0.00,0.00
9,111.1%,0.4444,0.00,0.00,0.00
10,110.0%,0.4000,0.00,0.00,0.00
11,109.1%,0.3636,0.00,0.00,0.00
12,108.3%,0.3333,3.00,0.00,0.00
13,107.7%,0.3077,6.25,0.00,0.00
14,107.1%,0.2857,6.25,0.00,0.00
15,106.7%,0.2667,6.25,0.00,0.00
16,106.2%,0.2500,6.25,0.00,0.00
17,105.9%,0.2353,6.25,0.00,0.00
18,105.6%,0.2222,6.25,0.00,0.00
19,105.3%,0.2105,11.00,0.00,0.00
20,100.0%,0.2000,16.00,0.00,0.00
